restaurant_branch_id,restaurant_branch_name,restaurant_primary_id,restaurant_primary_name,restaurant_zone_id,restaurant_zone_name,city_name,cuisine_name,commission_pct,enabled_disabled,restaurant_onboard_date,is_credit,delivery_by_partner,restaurant_type,chain,account_manager,cuisine,ops_staff,ops_manager,status
10000,Spice Route Kitchen - North Ridge,2000,Spice Route Kitchen,24,North Ridge,Hillcrest,"Seafood, Burger",22.8,enabled,2025-06-01,no,True,restaurant,Spice Route Kitchen,Taylor Morgan,Seafood,Drew Morgan,Drew Lee,Temporarily Closed
10001,Smokehouse BBQ - Riverside,2001,Smokehouse BBQ,2,Riverside,Rivermouth,"Burger, Biryani & Rice, Coffee & Tea",22.8,enabled,2023-12-30,yes,False,restaurant,Smokehouse BBQ,Drew Diaz,Burger,Taylor Nguyen,Quinn Price,OPEN
10002,Morning Brew Cafe - Downtown,2002,Morning Brew Cafe,8,Downtown,Rivermouth,"Burger, Coffee & Tea, Kebab",19.2,enabled,2025-05-13,yes,True,restaurant,Morning Brew Cafe,Rowan Lee,Burger,Casey Patel,Drew Lee,OPEN
10003,Cloud Nine Bakery - North Ridge,2003,Cloud Nine Bakery,24,North Ridge,Hillcrest,"Coffee & Tea, Biryani & Rice",17.1,enabled,2024-04-14,yes,False,restaurant,Cloud Nine Bakery,Emerson Nash,Coffee & Tea,Sam Foster,Drew Lee,OPEN
10004,Steam Bowl Asian Kitchen - West Common,2004,Steam Bowl Asian Kitchen,21,West Common,Westbridge,"Chinese, Pizza, Seafood",18.4,enabled,2025-05-31,yes,True,restaurant,Steam Bowl Asian Kitchen,Alex Rivera,Chinese,Taylor Nguyen,Cameron Nash,OPEN
10005,Sweet Tooth Desserts - North Ridge,2005,Sweet Tooth Desserts,24,North Ridge,Hillcrest,"Salad, Fast Food, Coffee & Tea, Kebab",13.5,enabled,2025-02-07,no,False,restaurant,Sweet Tooth Desserts,Alex Rivera,Salad,Quinn Ward,Drew Lee,OPEN
10006,Morning Brew Cafe - West Common,2006,Morning Brew Cafe,21,West Common,Westbridge,"BBQ, Pizza, Seafood, Chicken",23.3,enabled,2024-10-16,yes,True,restaurant,Morning Brew Cafe,Morgan Kim,BBQ,Sam Foster,Quinn Price,CLOSED
10007,Sweet Tooth Desserts - Central Plaza,2007,Sweet Tooth Desserts,1,Central Plaza,Rivermouth,"Breakfast, Bakery",23.4,enabled,2023-11-11,yes,True,restaurant,Sweet Tooth Desserts,Alex Price,Breakfast,Rowan Diaz,Cameron Nash,OPEN
10008,Green Bowl Healthy Eats - Old Town,2008,Green Bowl Healthy Eats,3,Old Town,Rivermouth,"Coffee & Tea, Biryani & Rice",24.3,enabled,2024-06-24,no,True,shop,Green Bowl Healthy Eats,Taylor Price,Coffee & Tea,Riley Bennett,Drew Lee,Temporarily Closed
10009,Rolls & Wraps Co - Downtown,2009,Rolls & Wraps Co,8,Downtown,Rivermouth,"Chinese, Breakfast",12.8,enabled,2024-07-21,yes,True,restaurant,Rolls & Wraps Co,Taylor Morgan,Chinese,Drew Morgan,Cameron Nash,CLOSED
10010,Smokehouse BBQ - Tech Park,2010,Smokehouse BBQ,4,Tech Park,Rivermouth,"Coffee & Tea, Biryani & Rice, Chinese",19.0,enabled,2024-08-07,no,True,restaurant,Smokehouse BBQ,Alex Rivera,Coffee & Tea,Drew Morgan,Cameron Nash,OPEN
10011,Steam Bowl Asian Kitchen - Harbor District,2011,Steam Bowl Asian Kitchen,7,Harbor District,Rivermouth,"Salad, Kebab, Fast Food",20.8,disabled,2023-04-11,yes,False,restaurant,Steam Bowl Asian Kitchen,Drew Diaz,Salad,Drew Morgan,Cameron Nash,OPEN
10012,Firehouse Wings - Old Town,2012,Firehouse Wings,3,Old Town,Rivermouth,"Biryani & Rice, Chinese, Chicken",17.8,enabled,2024-07-17,yes,True,restaurant,Firehouse Wings,Emerson Nash,Biryani & Rice,Jamie Price,Cameron Nash,CLOSED
10013,Smokehouse BBQ - Harbor District,2013,Smokehouse BBQ,7,Harbor District,Rivermouth,"Biryani & Rice, Chinese, Healthy",23.7,enabled,2023-01-03,no,False,shop,Smokehouse BBQ,Jamie Diaz,Biryani & Rice,Riley Bennett,Drew Lee,OPEN
10014,Morning Brew Cafe - North Ridge,2014,Morning Brew Cafe,24,North Ridge,Hillcrest,"Chinese, Burger",14.8,enabled,2025-01-23,yes,False,restaurant,Morning Brew Cafe,Alex Price,Chinese,Reese Brooks,Quinn Price,CLOSED
10015,Rice & Spice - Riverside,2015,Rice & Spice,2,Riverside,Rivermouth,"Chicken, Desserts",12.9,enabled,2024-02-18,yes,True,restaurant,Rice & Spice,Taylor Morgan,Chicken,Taylor Nguyen,Cameron Nash,OPEN
10016,Coastal Seafood Grill - Sunset Boulevard,2016,Coastal Seafood Grill,15,Sunset Boulevard,Lakeview,"Chinese, Coffee & Tea, Kebab",16.1,enabled,2023-05-15,no,False,restaurant,Coastal Seafood Grill,Drew Diaz,Chinese,Jamie Price,Drew Lee,OPEN
10017,Coastal Seafood Grill - Hill Gardens,2017,Coastal Seafood Grill,23,Hill Gardens,Hillcrest,"Chinese, Seafood, Burger, Pizza",24.1,enabled,2025-06-19,yes,False,restaurant,Coastal Seafood Grill,Jamie Diaz,Chinese,Sam Foster,Quinn Price,OPEN
